,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
cash-on-hand,,,,,,,,,,
inventory,12.703,7.975,5.064,3.673,2.148,,,,,
other-current-assets,,,,,,,,,,0.52
total-current-assets,117.824,138.016,152.799,165.34,35.335,,,,,8.72
net-property-plant-equipment,,,,,,,,,,
goodwill-intangible-assets-total,0.34,0.368,0.397,0.426,0.455,0.0,0.0,,0.0,0.65
other-long-term-assets,4.928,5.068,3.344,3.356,3.712,,,,,0.3
total-long-term-assets,8.22,8.436,6.628,6.566,6.984,,,,,3.05
total-assets,126.044,146.452,159.427,171.906,42.319,0.0,0.0,0.0,0.0,10.85
total-current-liabilities,15.543,11.3,6.694,5.887,5.496,,,,,1.48
long-term-debt,,,,,,,,,,
total-long-term-liabilities,18.313,20.739,21.399,22.744,12.509,,,,,0.3
total-liabilities,33.856,32.039,28.093,28.631,18.005,0.0,0.0,,0.0,1.78
common-stock-net,0.003,0.003,0.003,0.003,,0.0,0.0,,0.0,0.0002
retained-earnings-accumulated-deficit,-156.833,-131.827,-112.766,-99.649,-89.984,,,,,-49.1
comprehensive-income,-0.581,-0.469,-0.426,-0.416,-0.406,,,,,
other-share-holders-equity,,,,,-1.824,0.0,0.0,,0.0,10.98
total-share-holder-equity,92.188,114.413,131.334,143.275,24.314,0.0,0.0,,0.0,9.06
total-liabilities-share-holders-equity,126.044,146.452,159.427,171.906,42.319,0.0,0.0,,0.0,10.85
