,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,16.921,15.689,13.916,11.586,11.101,9.133,8.498,8.474,8.728,7.979,7.099,5.613,7.169,5.897,4.933,3.949,3.737,3.2,2.826,2.547,2.68,2.768,2.463,2.197,,,,1.37
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45
total-current-assets,123.2,126.688,131.205,134.67,132.035,130.563,128.137,130.291,124.482,121.665,119.18,125.292,127.242,128.904,133.172,141.212,144.974,149.788,54.998,60.278,62.419,10.578,14.83,19.202,,,,5.24
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,1.01,1.264,1.861,0.413,0.501,0.369,0.226,0.436,0.481,0.445,0.308,0.358,0.317,0.293,0.253,0.24,0.26,0.24,1.149,1.201,0.111,2.23,0.221,0.126,,,,0.22
total-long-term-assets,7.082,7.377,7.836,6.291,5.629,5.025,5.08,5.284,5.053,4.682,4.496,4.485,4.182,4.056,3.648,3.423,3.373,3.423,2.928,2.675,1.722,3.907,1.937,1.833,,,,3.09
total-assets,130.282,134.065,139.041,140.961,137.664,135.588,133.217,135.575,129.535,126.347,123.676,129.777,131.424,132.96,136.82,144.635,148.347,153.211,57.926,62.953,64.141,14.485,16.767,21.035,0.0,0.0,0.0,7.22
total-current-liabilities,19.355,15.953,20.094,19.733,17.501,12.738,14.261,17.677,14.703,12.407,12.59,14.364,13.583,10.685,11.345,13.07,13.368,10.203,7.146,8.111,7.174,8.041,6.187,6.084,,,,4.09
long-term-debt,,,,,,,,,,,,,,,,,,,,,0.03,0.393,0.575,0.756,,,,1.36
other-non-current-liabilities,0.044,0.044,0.2,0.234,0.356,0.471,0.576,0.679,0.793,0.831,0.925,1.016,1.107,1.199,1.282,1.334,1.41,1.283,1.098,1.03,,,0.021,0.052,,,,0.16
total-long-term-liabilities,0.044,0.044,0.2,0.234,0.356,0.471,0.576,0.679,0.793,0.831,0.925,1.016,1.107,1.199,1.282,1.334,1.41,1.283,1.098,1.03,0.03,0.393,0.596,0.808,,,,1.52
total-liabilities,19.399,15.997,20.294,19.967,17.857,13.209,14.837,18.356,15.496,13.238,13.515,15.38,14.69,11.884,12.627,14.404,14.778,11.486,8.244,9.141,7.204,8.434,6.783,6.892,0.0,0.0,0.0,5.62
common-stock-net,0.032,0.031,0.031,0.031,0.03,0.03,0.03,0.03,0.029,0.029,0.029,0.029,0.029,0.028,0.028,0.028,0.028,0.028,0.024,0.023,0.023,0.002,0.002,0.002,0.0,0.0,0.0,0.001
retained-earnings-accumulated-deficit,-222.799,-209.951,-198.567,-187.762,-182.732,-175.136,-170.976,-164.84,-161.688,-157.427,-155.158,-148.477,-143.661,-137.435,-131.476,-123.255,-117.51,-107.772,-101.959,-96.621,-92.935,-87.05,-82.668,-78.259,,,,-59.89
comprehensive-income,0.094,0.097,0.036,-0.041,-0.041,-0.087,-0.157,-0.092,-0.017,-0.04,-0.032,-0.037,0.11,0.141,0.105,0.008,-0.025,-0.014,,,0.006,,,,,,,
other-share-holders-equity,,,,,,,,,,,,,,,,,,,,,,,-0.204,-0.219,0.0,0.0,0.0,0.0
total-share-holder-equity,110.883,118.068,118.747,120.994,119.807,122.379,118.38,117.219,114.039,113.109,110.161,114.397,116.734,121.076,124.193,130.231,133.569,141.725,49.682,53.812,56.937,6.051,9.984,14.143,0.0,0.0,0.0,1.6
total-liabilities-share-holders-equity,130.282,134.065,139.041,140.961,137.664,135.588,133.217,135.575,129.535,126.347,123.676,129.777,131.424,132.96,136.82,144.635,148.347,153.211,57.926,62.953,64.141,14.485,16.767,21.035,0.0,0.0,0.0,7.22
