,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
total-current-assets,137.343,141.292,145.629,150.953,152.7863,156.9104,51.7349,55.741,39.5125,40.1819,40.8979,44.0373,28.6645,29.7472,31.4543,35.0514,38.5703,23.242,26.0152,14.4111,17.9927,20.2527,22.4345,25.6586,27.9642,13.8113,15.9419,18.2959,8.1831,8.2095,8.8045,10.8825,13.0708,9.5929,11.3197,5.2673,10.3532,10.7535,11.2827,16.7731,0.4174,0.691,0.3829,0.4543,0.5552,0.6995,0.8885,0.9962,1.0135,1.1028,1.2858,1.3481,1.437,1.5022,1.5749,1.5922,1.4996,1.5812,1.7313
net-property-plant-equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goodwill-intangible-assets-total,1.488,1.404,1.164,1.181,1.1981,1.1575,1.0583,0.937,0.9515,0.9406,0.8907,0.829,0.7875,0.7434,0.7475,0.6781,0.6353,0.6085,0.5975,0.5772,0.5764,0.5786,0.5678,0.5704,0.5798,0.5834,0.5905,0.5737,0.9068,1.0549,1.0813,1.0695,1.0769,0.0446,0.048,0.6378,0.0472,0.0282,0.033,0.0298,0.0343,0.0388,0.038,0.0438,0.0496,0.0554,0.047,0.0429,0.048,0.0536,0.0593,0.0652,0.0713,0.0775,0.0839,0.0907,0.0976,0.0418,0.0463
other-long-term-assets,3.688,4.15,4.541,,,,,,,,,,,,,,,,,,,,,,,,,,0.1189,0.1297,0.0973,,,,,,,,,,,,0.0101,0.0203,0.0304,0.0406,0.0507,0.0608,0.071,0.0811,0.0913,0.1014,0.1115,0.1217,0.1318,0.142,0.1521,0.1622,0.1724
total-long-term-assets,16.849,15.311,14.863,9.22,8.8714,3.6333,3.4357,3.134,2.7153,2.5839,2.375,2.3232,2.1082,2.0036,2.0424,1.649,2.3427,2.1811,2.1208,1.9897,2.1045,2.146,2.1334,2.0257,1.7998,1.8614,1.9101,1.9347,1.5106,1.6282,1.6726,1.6126,1.3706,2.5676,0.051,1.1385,0.0516,0.0335,0.0392,0.0354,0.0386,0.0436,0.0535,0.07,0.0867,0.096,0.0977,0.1038,0.119,0.1347,0.1506,0.1666,0.1828,0.1992,0.2157,0.2326,0.2497,0.204,0.2186
total-assets,154.192,156.603,160.492,160.173,161.6577,160.5437,55.1706,58.875,42.2278,42.7657,43.2728,46.3605,30.7728,31.7507,33.4967,36.7003,40.913,25.4232,28.1359,16.4008,20.0972,22.3987,24.5679,27.6843,29.764,15.6727,17.852,20.2306,9.6938,9.8377,10.4771,12.495,14.4415,12.1606,11.3708,6.4058,10.4048,10.787,11.3219,16.8084,0.456,0.7346,0.4364,0.5242,0.6418,0.7955,0.9862,1.1,1.1324,1.2375,1.4364,1.5147,1.6199,1.7014,1.7907,1.8248,1.7493,1.7852,1.9499
total-current-liabilities,16.757,16.233,16.492,13.044,12.0153,9.8574,15.5674,13.719,11.1377,10.9519,10.6948,11.0814,4.5954,3.9224,3.7647,3.7092,4.1004,3.4222,3.4374,2.4453,2.0342,2.2532,1.9229,2.0981,1.3171,1.5879,1.4189,1.4798,3.7495,3.1063,2.4249,2.0198,1.6571,0.6116,0.2325,9.3869,0.1411,0.1369,0.4676,5.7473,0.2692,0.4169,0.2577,0.2111,0.2079,0.2338,0.247,0.2012,0.2141,0.2041,0.2523,0.2179,0.1755,0.1951,0.1783,0.1609,0.2249,0.1853,0.2338
long-term-debt,2.024,2.41,3.257,0.077,0.087,0.1006,17.8229,19.879,20.3567,20.3143,20.2766,20.2658,24.9961,24.9522,24.8045,24.7017,25.5374,25.4267,25.2691,25.0858,28.1739,27.2426,26.2555,25.3637,24.3325,23.3837,22.4384,21.5803,4.7393,3.4608,3.9322,4.4037,4.8263,,,,,,,,,,,,,,,,,,,,,,,,,,
