,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
cash-on-hand,,,,,,,,,,,,,,,,,,,,,,,,
other-current-assets,,,,,,,,,,,,,,,,,,,,,,,,0.46
total-current-assets,235.814,256.775,272.454,282.976,287.763,312.255,330.814,350.131,363.961,384.955,360.92,354.764,378.223,407.815,413.571,424.504,452.589,469.596,136.961,125.221,,,,9.35
net-property-plant-equipment,25.534,26.177,28.169,29.157,29.806,30.331,30.168,31.085,28.28,26.36,26.443,26.384,25.931,17.227,5.548,3.986,2.454,2.122,1.376,1.053,,,,1.18
long-term-investments,3.593,,,11.434,12.84,16.783,20.541,23.614,27.999,,1.992,14.474,17.179,3.566,6.479,15.391,2.464,,,,,,,
goodwill-intangible-assets-total,26.557,32.961,32.667,33.469,38.147,38.55,40.815,39.83,39.424,38.264,35.914,35.485,37.969,38.231,39.237,37.869,,,,,0.0,0.0,0.0,0.0
other-long-term-assets,21.814,22.077,22.296,0.468,0.468,0.468,0.468,0.468,1.184,8.933,3.906,1.185,7.684,3.215,3.177,0.075,0.347,0.833,0.428,0.188,,,,0.12
total-long-term-assets,77.498,81.215,83.132,74.528,81.261,86.132,91.992,94.997,101.17,78.604,74.574,83.847,88.763,62.239,54.441,57.321,5.265,2.955,1.804,1.241,,,,1.3
total-assets,313.312,337.99,355.586,357.504,369.024,398.387,422.806,445.128,465.131,463.559,435.494,438.611,466.986,470.054,468.012,481.825,457.854,472.551,138.765,126.462,0.0,0.0,0.0,9.88
total-current-liabilities,32.48,30.405,29.903,30.517,30.885,38.315,36.346,41.401,34.289,28.879,28.821,30.632,34.033,39.906,41.093,31.066,33.1,31.863,40.724,44.215,,,,14.43
long-term-debt,32.12,32.599,33.03,,,,,,,,,,,,,,,,,,,,,
other-non-current-liabilities,1.941,2.036,1.819,1.838,1.773,1.778,1.831,1.577,7.624,7.299,5.204,5.141,3.542,3.508,3.594,3.75,,,9.235,0.889,,,,0.5
total-long-term-liabilities,198.786,206.535,210.294,191.676,180.444,183.638,189.501,166.254,174.428,176.94,177.656,180.759,183.014,184.209,186.642,189.137,181.537,200.0,10.331,3.581,,,,0.57
total-liabilities,231.266,236.94,240.197,222.193,211.329,221.953,225.847,207.655,208.717,205.819,206.477,211.391,217.047,224.115,227.735,220.203,214.637,231.863,51.055,47.796,0.0,0.0,0.0,16.41
common-stock-net,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,,,0.0,0.0,0.0,0.0
retained-earnings-accumulated-deficit,-467.489,-446.537,-427.959,-404.532,-378.212,-355.065,-330.667,-283.863,-257.731,-233.211,-213.812,-192.0,-162.434,-127.383,-129.679,-100.852,-103.952,-104.519,-78.259,-61.643,,,,-44.62
comprehensive-income,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
total-share-holder-equity,82.046,101.05,115.389,135.311,157.695,176.434,196.959,237.473,256.414,257.74,229.017,227.22,249.939,245.939,240.277,261.622,243.217,240.688,87.71,78.666,0.0,0.0,0.0,-6.53
total-liabilities-share-holders-equity,313.312,337.99,355.586,357.504,369.024,398.387,422.806,445.128,465.131,463.559,435.494,438.611,466.986,470.054,468.012,481.825,457.854,472.551,138.765,126.462,0.0,0.0,0.0,9.88
