,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31
revenue,74.27,76.255,60.959,57.31,54.418,48.598,43.944,43.34,32.731,29.437,27.977,28.042,24.174,22.418,20.157,,17.952,
cost-goods-sold,46.441,45.156,41.668,38.537,35.058,32.41,31.664,29.567,23.465,20.968,19.655,17.939,17.183,16.122,13.933,,12.277,
gross-profit,27.829,31.099,19.291,18.773,19.36,16.188,12.28,13.773,9.266,8.469,8.322,10.103,6.991,6.296,6.224,,5.675,
research-development-expenses,5.902,5.197,5.55,3.707,3.38,2.922,2.213,1.591,1.527,1.291,1.219,0.933,1.028,0.961,0.889,,0.693,
selling-general-administrative-expenses,19.039,19.754,18.593,10.634,10.493,8.842,7.879,6.757,5.423,6.804,7.739,7.473,2.934,2.676,2.663,,2.787,
other-operating-income-expenses,-1.51,-1.83,-1.176,-9.083,8.419,-35.283,-13.521,7.133,-0.923,-0.016,-0.021,0.484,-0.047,-0.045,-0.054,,0.33,
operating-expenses,82.034,81.015,73.286,66.653,44.608,83.423,59.325,34.564,33.504,30.878,30.399,27.561,22.468,20.939,18.543,,16.419,
operating-income,-7.764,-4.76,-12.327,-9.343,9.81,-34.825,-15.381,8.776,-0.773,-1.441,-2.422,0.481,1.706,1.479,1.614,,1.533,
total-non-operating-income-expense,-4.441,-4.308,-2.693,-0.491,-0.232,-0.12,-0.063,-0.361,-0.174,-0.077,-0.076,-5.253,-2.012,-1.626,-1.369,,-4.761,
pre-tax-income,-12.205,-9.068,-15.02,-9.834,9.578,-34.945,-15.444,8.415,-0.947,-1.518,-2.498,-4.772,-0.306,-0.147,0.245,,-3.228,
total-provision-income-taxes,-4.101,-2.539,-4.041,0.731,-0.838,-5.919,2.65,-2.487,-7.112,0.165,0.095,0.53,-0.164,0.139,0.036,,0.036,
income-after-taxes,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,
net-income,-8.104,-6.529,-10.979,-10.565,10.416,-29.026,-18.094,10.902,6.165,-1.683,-2.593,-2.863,-0.142,-0.286,0.209,,-3.264,
ebitda,4.464,7.346,-4.453,-4.614,13.931,-30.839,-11.312,12.578,1.419,0.382,-0.635,2.205,3.061,3.21,3.198,,1.533,
ebit,-7.764,-4.76,-12.327,-9.343,9.81,-34.825,-15.381,8.776,-0.773,-1.441,-2.422,0.481,1.706,1.479,1.614,,1.533,
basic-shares-outstanding,20.691,20.482,20.385,19.098,19.218,18.956,18.789,16.73,16.699,16.507,16.239,7.486,4.919,4.861,4.671,,4.38,
shares-outstanding,20.691,20.482,20.385,19.098,22.289,18.956,18.789,18.774,18.646,16.507,16.239,11.591,10.334,4.861,12.428,,4.38,
eps-basic-net-earnings-per-share,-0.39,-0.32,-0.54,-0.53,0.54,-1.53,-0.96,0.65,0.37,-0.1,-0.16,-0.54,0.25,-0.18,0.06,,-3.21,
eps-earnings-per-share-diluted,-0.39,-0.32,-0.54,-0.46,0.47,-1.53,-0.96,0.61,0.33,-0.1,-0.16,-0.28,-0.08,-0.18,0.01,0.0,-3.21,0.0
