,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31
eps-earnings-per-share-diluted,-0.36,-0.32,-0.41,-0.34,-0.31,-0.32,-0.32,0.02,-0.28,-0.27,-0.3,-0.28,-0.24,-0.18,-0.29,-0.34,-0.24,-0.27,-0.31,0.04,-1.53,-2.55,-0.43,0.0,-0.12,-0.1,0.0
research-development-expenses,9.6743,8.3196,11.6062,9.0076,8.3695,9.0622,8.4493,6.541,8.9565,7.1441,7.6143,6.4987,5.8521,2.7143,5.3749,6.2593,3.8282,4.4847,3.9612,3.0301,24.7378,14.5547,0.5859,,0.1907,0.2498,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,14.2818,12.904,16.3119,13.6275,12.424,12.9345,12.7438,9.5325,11.4071,9.7455,10.4851,9.2374,8.2319,4.9645,7.7569,8.1941,5.7047,6.3323,5.8785,7.4459,27.1514,17.6498,2.6233,,0.4825,0.3788,
operating-income,-14.2818,-12.904,-16.3119,-13.6275,-12.424,-12.9345,-12.7438,-9.5325,-11.4071,-9.7455,-10.4851,-9.2374,-8.2319,-4.9645,-7.7569,-8.1941,-5.7047,-6.3323,-5.8785,-7.4459,-27.1514,-17.6498,-2.6233,,-0.4825,-0.3788,
total-non-operating-income-expense,0.3198,0.4275,0.4847,0.4247,0.4033,0.405,0.3255,0.3183,0.1465,-0.0346,-0.1595,-0.1667,-0.1914,-0.2491,-0.2475,-0.2451,-0.2344,-0.2778,-0.2147,0.0038,-0.0038,-1.7158,-0.3151,,-0.0057,0.0028,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-13.962,-12.4765,-15.8272,-13.2028,-12.0207,-12.5295,-12.4183,0.1621,-11.2606,-9.7801,-10.6446,-9.4041,-8.4233,-5.2136,-8.0044,-8.4392,-5.939,-6.6101,-6.0932,-7.4422,-27.1552,-19.3657,-2.9384,,-0.4882,-0.376,
ebitda,-14.4016,-13.1226,-16.5156,-13.6499,-12.4282,-12.9465,-12.7694,-9.5972,-11.4007,-9.7234,-10.4166,-9.157,-8.1309,-4.8373,-7.5987,-8.0018,-5.4777,-6.1865,-5.8017,-7.4419,-27.1227,-15.9709,-2.3487,,-0.4825,-0.3788,
ebit,-14.2818,-12.904,-16.3119,-13.6275,-12.424,-12.9345,-12.7438,-9.5325,-11.4071,-9.7455,-10.4851,-9.2374,-8.2319,-4.9645,-7.7569,-8.1941,-5.7047,-6.3323,-5.8785,-7.4459,-27.1514,-17.6498,-2.6233,,-0.4825,-0.3788,
basic-shares-outstanding,39.0255,39.0255,38.9681,38.7926,38.7818,38.7493,38.7493,37.9372,40.8804,36.7195,35.3696,31.5142,34.8063,29.1224,27.2027,23.4122,24.7211,24.721,19.417,12.7244,17.752,7.605,6.903,,4.091,3.917,
shares-outstanding,39.0255,39.0255,38.9681,38.7926,38.7818,38.7493,38.7493,37.9372,40.8804,36.7195,35.3696,31.5142,34.8063,29.1224,27.2027,23.4122,24.7211,24.721,19.417,12.7244,17.752,7.605,6.903,,4.091,3.917,
eps-basic-net-earnings-per-share,-0.36,-0.32,-0.41,-0.34,-0.31,-0.32,-0.32,0.02,-0.28,-0.27,-0.3,-0.28,-0.24,-0.18,-0.29,-0.34,-0.24,-0.27,-0.31,0.04,-1.53,-2.55,-0.43,,-0.12,-0.1,
