,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,,,,,,,,5.207,,,4.793,,,,,,,,,,,,,,,,,,2.913
research-development-expenses,23.193,21.119,18.588,16.397,17.853,14.397,9.477,6.669,4.184,4.044,4.041,3.848,3.534,4.131,4.428,4.051,4.528,4.26,4.187,5.277,3.848,4.083,2.615,1.363,0.703,0.969,1.49,,2.282
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,27.707,25.648,24.251,20.555,21.129,17.971,12.85,9.563,6.394,7.626,7.742,6.687,5.664,6.346,6.889,5.847,6.729,6.545,6.776,7.609,5.535,5.749,5.115,3.454,1.386,2.141,2.415,,3.207
operating-income,-27.707,-25.648,-24.251,-20.555,-21.129,-17.971,-12.85,-4.356,-6.394,-7.626,-2.949,-6.687,-5.664,-6.346,-6.889,-5.847,-6.729,-6.545,-6.776,-7.609,-5.535,-5.749,-5.115,-3.454,-1.386,-2.141,-2.415,,-0.294
total-non-operating-income-expense,1.425,1.61,1.176,1.106,2.566,0.44,-4.155,-0.687,-1.84,-1.303,-2.402,-0.265,-0.215,-0.646,0.041,-0.132,0.864,5.188,4.448,-5.113,-0.426,2.577,-4.947,-0.461,0.079,-0.082,-0.213,,-0.217
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-26.282,-24.038,-23.075,-19.449,-18.563,-17.531,-17.005,-5.043,-8.234,-8.929,-5.351,-6.952,-5.879,-6.992,-6.848,-5.979,-5.865,-1.357,-2.328,-12.722,-5.961,-3.172,-10.062,212.228,42.87,-5.367,-5.737,,-3.69
ebitda,-28.148,-26.288,-24.657,-21.076,-21.696,-18.457,-13.116,-4.499,-6.437,-7.612,-2.941,-6.682,-5.659,-6.313,-6.778,-5.678,-6.604,-6.479,-6.603,-7.44,-5.419,-5.637,-5.041,-3.401,-1.378,-2.115,-2.389,,-0.294
ebit,-27.707,-25.648,-24.251,-20.555,-21.129,-17.971,-12.85,-4.356,-6.394,-7.626,-2.949,-6.687,-5.664,-6.346,-6.889,-5.847,-6.729,-6.545,-6.776,-7.609,-5.535,-5.749,-5.115,-3.454,-1.386,-2.141,-2.415,,-0.294
basic-shares-outstanding,68.701,68.6977,61.8906,57.8083,59.1216,58.8337,53.7528,34.904,40.0357,28.752,26.61,23.447,23.447,23.447,23.447,18.9,21.675,15.2584,15.1,12.049,13.468,10.065,9.874,2.357,0.1014,0.006,0.0058,,0.0058
shares-outstanding,68.701,68.6977,61.8906,57.8383,59.3878,58.9059,53.7528,34.904,40.0357,28.752,26.61,23.447,23.447,23.447,23.447,18.917,21.675,15.2584,15.743,12.049,13.468,10.487,9.874,2.846,0.732,0.006,0.0058,,0.0058
eps-basic-net-earnings-per-share,-0.38,-0.35,-0.37,-0.32,-0.31,-0.3,-0.32,-0.07,-0.21,-0.31,-0.2,-0.3,-0.25,-0.3,-0.29,-0.31,-0.27,-0.09,-0.15,-0.87,-0.44,-0.32,-1.02,1583.22,422.95,-917.59,-985.06,,-637.05
eps-earnings-per-share-diluted,-0.38,-0.35,-0.37,-0.3,-0.34,-0.3,-0.32,-0.07,-0.21,-0.31,-0.2,-0.3,-0.25,-0.3,-0.29,-0.03,-0.27,-0.09,-0.44,-0.63,-0.44,-0.56,-1.02,1900.9,-1.79,-917.59,-985.06,0.0,-637.5
