,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31
revenue,216.238,214.104,200.741,192.115,179.253,170.144,163.077,112.682,110.643,106.216,106.611,108.243,107.799,105.954,99.586,,92.131,,
cost-goods-sold,81.086,79.327,75.109,67.945,62.52,61.478,60.341,55.569,53.144,51.955,51.105,51.074,51.221,49.234,46.981,,41.763,,
gross-profit,,,,,,,,,,,,,,,,,,,
selling-general-administrative-expenses,29.12,23.556,21.308,20.569,18.606,20.507,15.999,16.842,16.606,14.755,15.154,16.783,16.391,14.824,13.509,,15.295,,
other-operating-income-expenses,-70.984,-70.985,-70.594,-63.188,-61.476,-55.198,-56.913,-13.234,-11.962,-11.664,-12.83,-12.867,-12.987,-13.321,-11.786,,-10.493,,
operating-expenses,186.247,178.845,174.846,161.449,152.335,146.799,142.958,97.245,93.445,89.937,90.667,95.353,95.182,91.84,86.717,,84.936,,
operating-income,29.991,35.259,25.895,30.666,26.918,23.345,20.119,15.437,17.198,16.279,15.944,12.89,12.617,14.114,12.869,,7.195,,
total-non-operating-income-expense,-0.526,-0.767,-1.237,-1.346,-1.459,-1.83,-2.462,-1.763,-2.051,-1.933,-2.166,-12.664,-5.034,-5.927,-6.908,,-6.687,,
pre-tax-income,29.465,34.492,24.658,29.32,25.459,21.515,17.657,13.674,15.147,14.346,13.778,0.226,7.583,8.187,5.961,,0.508,,
total-provision-income-taxes,5.488,7.037,5.46,6.559,6.154,4.947,3.106,2.383,5.316,4.793,5.331,0.247,2.547,3.225,2.513,,0.641,,
income-after-taxes,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,
net-income,23.977,27.455,19.198,22.761,19.305,16.568,14.551,11.291,9.831,9.553,8.447,-0.021,5.036,4.962,3.448,,-0.133,,
ebitda,34.927,40.772,33.668,40.36,29.697,32.915,29.78,18.42,29.097,28.009,27.687,28.071,27.879,29.248,27.982,,7.195,,
ebit,29.991,35.259,25.895,30.666,26.918,23.345,20.119,15.437,17.198,16.279,15.944,12.89,12.617,14.114,12.869,,7.195,,
basic-shares-outstanding,35.939,35.839,35.698,35.547,35.569,35.519,35.486,39.056,38.579,40.183,40.669,35.69,37.118,32.636,32.625,,31.43,,
shares-outstanding,37.835,37.389,37.285,36.912,37.125,36.664,36.449,39.839,39.329,40.825,41.508,36.329,37.623,32.828,32.625,,31.43,,
eps-basic-net-earnings-per-share,0.67,0.76,0.54,0.64,0.54,0.46,0.41,0.3,0.25,0.24,0.21,-0.02,0.14,0.15,0.11,,0.0,,
eps-earnings-per-share-diluted,0.63,0.73,0.51,0.6,0.52,0.45,0.4,0.3,0.25,0.23,0.2,-0.02,0.13,0.15,0.11,0.0,0.0,0.0,0.0
