,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
eps-earnings-per-share-diluted,-0.38,-0.39,-0.35,-2.94,-23.06,-4.21,-2.32,0.0,0.0
research-development-expenses,10.219,10.425,9.564,7.006,4.664,3.387,1.765,,
selling-general-administrative-expenses,,,,,,,,,
operating-expenses,13.177,13.465,11.919,8.79,5.931,3.989,2.19,,
operating-income,-13.177,-13.465,-11.919,-8.79,-5.931,-3.989,-2.19,,
total-non-operating-income-expense,0.961,1.095,1.068,-19.372,-16.323,-0.014,,,
pre-tax-income,,,,0.0,,,,,
income-after-taxes,,,,0.0,,,,,
income-from-continuous-operations,,,,0.0,,,,,
net-income,-12.216,-12.37,-10.851,-28.162,-22.254,-4.003,-2.19,,
ebitda,-13.628,-14.158,-12.252,-8.705,-5.86,-3.94,-2.148,,
ebit,-13.177,-13.465,-11.919,-8.79,-5.931,-3.989,-2.19,,
basic-shares-outstanding,31.7883,31.5615,31.4301,9.571,0.9651,0.9511,0.9426,,
shares-outstanding,31.7883,31.5615,31.4301,9.571,0.9651,0.9511,0.9426,,
eps-basic-net-earnings-per-share,-0.38,-0.39,-0.35,-2.94,-23.06,-4.21,-2.32,,
