,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2018-03-31,2017-12-31,2016-12-31
eps-earnings-per-share-diluted,-0.46,-4.85,-16.22,-27.97,-28.9,0.0,0.0
research-development-expenses,8.833,7.889,,5.175,2.893,,
selling-general-administrative-expenses,,,,,,,
operating-expenses,12.14,10.775,,6.809,4.113,,
operating-income,-12.14,-10.775,,-6.809,-4.113,,
total-non-operating-income-expense,1.077,0.872,,0.622,0.127,,
pre-tax-income,,,,,,,
income-after-taxes,,,,,,,
income-from-continuous-operations,,,0.0,,,,
net-income,-11.063,-59.803,-11.42,-17.332,-14.819,,
ebitda,-11.975,-10.64,,-6.697,-4.037,,
ebit,-12.14,-10.775,,-6.809,-4.113,,
basic-shares-outstanding,23.818,12.329,0.704,0.62,0.513,,
shares-outstanding,23.818,12.329,0.704,0.62,0.513,,
eps-basic-net-earnings-per-share,-0.46,-4.85,-16.22,-27.97,-28.9,,
