,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-05-31,2015-03-31,2015-02-28,2014-12-31,2014-09-30,2013-12-31
revenue,20.862,30.167,20.284,20.663,17.666,16.443,26.19,19.92,12.197,0.698,1.227,16.125,0.357,0.299,5.456,4.612,5.316,0.182,,0.28,,,,
cost-goods-sold,20.288,26.921,25.648,20.063,17.302,16.374,20.62,15.63,10.212,0.826,1.042,17.292,1.183,0.863,6.528,6.843,6.091,0.833,,0.777,,,,
gross-profit,0.574,3.246,-5.364,0.6,0.364,0.069,5.57,4.29,1.985,-0.128,0.185,-1.167,-0.826,-0.564,-1.072,-2.231,-0.775,-0.651,,-0.497,,,,
research-development-expenses,5.641,6.463,5.031,4.014,4.347,4.389,3.77,4.928,3.616,3.251,2.914,2.425,2.654,2.964,3.399,3.041,2.902,2.258,,2.248,,,,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,52.607,56.445,50.673,42.158,41.754,34.66,37.482,32.776,23.84,13.411,12.179,26.633,11.236,11.017,17.526,17.614,14.399,11.492,,8.312,,,,
operating-income,-31.745,-26.278,-30.389,-21.495,-24.088,-18.217,-11.292,-12.856,-11.643,-12.713,-10.952,-10.508,-10.879,-10.718,-12.07,-13.002,-9.083,-11.31,,-8.032,,,,
total-non-operating-income-expense,10.914,-4.52,-2.972,4.755,-8.764,-3.773,6.478,-11.79,0.427,4.36,-17.009,-0.499,-3.267,-1.397,-1.298,-1.103,-1.177,-0.864,,-0.423,,,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-20.831,-30.798,-33.361,-16.74,-32.852,-21.99,-7.542,-24.646,-11.216,-8.353,-27.961,-11.007,-14.146,-12.115,-13.368,-14.106,-10.26,-12.174,,-8.455,,,,
ebitda,-30.334,-25.148,-29.302,-19.632,-22.18,-16.389,-9.764,-11.365,-10.225,-11.356,-9.7,-9.302,-9.663,-9.637,-11.236,-12.103,-8.311,-8.079,,-7.629,,,,
ebit,-31.745,-26.278,-30.389,-21.495,-24.088,-18.217,-11.292,-12.856,-11.643,-12.713,-10.952,-10.508,-10.879,-10.718,-12.07,-13.002,-9.083,-11.31,,-8.032,,,,
basic-shares-outstanding,99.04,97.572,96.741,81.123,84.921,74.531,68.944,58.458,59.0612,57.2304,51.8214,40.0683,40.1569,38.235,38.2114,17.4324,29.157,0.92,,0.912,,,,
shares-outstanding,99.04,97.572,96.741,81.123,84.921,74.531,68.944,58.458,59.0612,57.2304,51.8214,40.0683,40.1569,38.235,38.2114,17.4324,29.157,0.92,,0.912,,,,
eps-basic-net-earnings-per-share,-0.21,-0.32,-0.34,-0.18,-0.39,-0.3,-0.11,-0.35,-0.19,-0.15,-0.54,-0.24,-0.35,-0.32,-0.35,20.28,-0.35,-13.24,,-9.27,,,,
eps-earnings-per-share-diluted,-0.21,-0.32,-0.34,-0.18,-0.39,-0.3,-0.11,-0.35,-0.19,-0.15,-0.54,-0.24,-0.35,-0.32,-0.35,20.28,-0.35,-13.24,0.0,-9.27,0.0,0.0,0.0,0.0
