,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,4.208,27.666,2.78,3.816,3.258,3.685,3.232,3.705,3.014,3.057,3.705,3.37,3.005,3.195,18.201,3.805,4.155,5.717,4.42,3.739,3.508,4.078,3.307,11.521,4.27,26.427,15.012,,3.905,
research-development-expenses,37.63,34.765,32.771,29.871,24.667,25.933,23.431,25.342,21.059,21.598,21.727,19.094,17.102,16.138,16.246,16.14,13.335,14.15,14.779,14.579,11.876,12.677,11.765,10.217,8.143,8.911,8.78,,8.722,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,53.131,48.802,43.585,40.622,33.32,33.591,30.872,32.341,28.592,32.968,29.563,25.357,23.513,22.85,22.157,21.918,18.768,18.811,19.479,18.293,14.899,21.389,15.515,14.972,11.154,12.276,11.876,,10.763,
operating-income,-48.923,-21.136,-40.805,-36.806,-30.062,-29.906,-27.64,-28.636,-25.578,-29.911,-25.858,-21.987,-20.508,-19.655,-3.956,-18.113,-14.613,-13.094,-15.059,-14.554,-11.391,-17.311,-12.208,-3.451,-6.884,14.151,3.136,,-6.858,
total-non-operating-income-expense,3.52,3.23,2.772,2.035,1.071,0.979,1.431,0.77,0.086,0.248,0.457,2.742,-0.282,-2.361,9.017,-8.966,2.755,2.711,0.485,-3.063,3.419,0.761,3.088,-14.659,-11.629,-1.073,-1.489,,-0.357,
pre-tax-income,-45.403,-17.906,-38.033,-34.771,-28.991,-28.927,-26.209,-27.866,-25.492,-29.663,-25.401,-19.245,-20.79,-22.016,5.061,-27.079,-11.858,-10.383,-14.574,-17.617,-7.972,-16.55,-9.12,-18.11,-18.513,13.078,1.647,,-7.215,
total-provision-income-taxes,-0.034,-0.044,0.02,-0.036,-0.012,0.011,0.01,0.061,-0.041,0.006,0.006,0.044,-0.02,,,,,,,,,,,,,,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
net-income,-45.369,-17.862,-38.053,-34.735,-28.979,-28.938,-26.219,-27.927,-25.451,-29.669,-25.407,-19.289,-20.77,-22.016,5.061,-27.079,-11.858,-10.383,-14.574,-17.617,-7.972,-16.55,-9.12,-12.617,-24.785,0.743,-2.344,,-7.215,
ebitda,-47.933,-21.362,-38.637,-35.927,-29.06,-28.944,-26.736,-27.834,-24.779,-29.228,-25.317,-21.469,-19.633,-19.596,-3.732,-17.808,-13.539,-12.547,-15.809,-14.268,-11.101,-17.034,-11.907,-3.213,-6.647,14.535,3.378,,-6.858,
ebit,-48.923,-21.136,-40.805,-36.806,-30.062,-29.906,-27.64,-28.636,-25.578,-29.911,-25.858,-21.987,-20.508,-19.655,-3.956,-18.113,-14.613,-13.094,-15.059,-14.554,-11.391,-17.311,-12.208,-3.451,-6.884,14.151,3.136,,-6.858,
basic-shares-outstanding,52.882,52.689,51.126,45.898,46.051,45.789,45.516,40.42,39.361,38.631,38.404,37.43,37.616,37.272,36.911,33.303,33.097,32.87,32.633,31.515,31.855,31.552,30.321,9.407,4.406,2.438,9.74,,2.4,
shares-outstanding,52.882,52.689,51.126,45.898,46.051,45.789,45.516,40.42,39.361,38.631,38.404,37.43,37.616,37.272,38.666,33.303,33.097,32.87,32.633,31.515,31.855,31.552,30.321,9.407,4.406,4.457,9.74,,2.4,
eps-basic-net-earnings-per-share,-0.86,-0.34,-0.74,-0.75,-0.63,-0.63,-0.58,-0.6,-0.65,-0.77,-0.66,-0.52,-0.55,-0.59,0.14,-0.79,-0.36,-0.32,-0.45,-0.56,-0.25,-0.52,-0.3,1.41,-5.62,0.3,-0.24,,-5.82,
eps-earnings-per-share-diluted,-0.86,-0.34,-0.74,-0.75,-0.63,-0.63,-0.58,-0.6,-0.65,-0.77,-0.66,-0.51,-0.55,-0.59,0.13,-0.79,-0.36,-0.32,-0.45,-0.56,-0.25,-0.52,-0.3,1.43,-5.62,0.28,-0.24,0.0,-5.82,0.0
