,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,9.139,5.11,0.73,1.033,1.095,41.439,0.954,1.628,8.068,5.89,5.84,7.691,6.16,7.065,6.856,4.635,3.426,2.687,0.652,,,,,
research-development-expenses,81.453,87.101,74.25,70.532,64.562,58.573,49.954,43.629,39.3,33.271,28.487,24.073,18.15,21.273,17.635,16.432,11.681,11.243,9.232,11.34,8.368,6.762,5.381,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,107.1,109.024,90.803,84.175,76.603,70.906,59.865,51.721,46.678,40.104,34.17,29.064,23.043,25.961,22.281,20.056,15.903,15.083,12.002,14.31,10.289,8.199,6.953,
operating-income,-97.961,-103.914,-90.073,-83.142,-75.508,-29.467,-58.911,-50.093,-38.61,-34.214,-28.33,-21.373,-16.883,-18.896,-15.425,-15.421,-12.477,-12.396,-11.35,-14.31,-10.289,-8.199,-6.953,
total-non-operating-income-expense,3.686,4.233,2.666,2.82,2.785,2.419,2.362,1.066,0.907,0.802,0.353,0.11,0.049,0.002,-0.079,-0.154,-0.165,-0.584,-0.222,-0.171,-0.214,-0.088,-0.074,
pre-tax-income,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-94.275,-99.681,-87.407,-80.322,-72.723,-27.048,-56.549,-49.027,-37.703,-33.412,-27.977,-21.263,-16.834,-18.894,-15.504,-15.575,-12.642,-13.863,-13.842,-14.48,-11.816,-9.585,-8.276,
ebitda,-96.749,-103.045,-89.186,-83.419,-75.604,-29.317,-58.823,-49.988,-38.324,-33.831,-27.846,-20.883,-16.382,-18.425,-15.004,-15.088,-12.273,-12.194,-11.141,-14.106,-10.146,-8.06,-6.819,
ebit,-97.961,-103.914,-90.073,-83.142,-75.508,-29.467,-58.911,-50.093,-38.61,-34.214,-28.33,-21.373,-16.883,-18.896,-15.425,-15.421,-12.477,-12.396,-11.35,-14.31,-10.289,-8.199,-6.953,
basic-shares-outstanding,48.921,48.843,44.097,43.867,43.915,43.856,43.7,37.793,39.13,38.775,33.19,27.492,27.251,27.17,27.088,18.236,26.835,17.093,1.681,1.421,1.453,1.371,1.285,
shares-outstanding,48.921,48.843,44.097,43.867,43.915,43.856,43.7,37.793,39.13,38.775,33.19,27.492,27.251,27.17,27.088,18.236,26.835,17.093,1.681,1.421,1.453,1.371,1.285,
eps-basic-net-earnings-per-share,-1.93,-2.04,-1.98,-1.82,-1.66,-0.62,-1.29,-1.26,-0.96,-0.86,-0.84,-0.75,-0.62,-0.7,-0.57,6.44,-0.47,-0.81,-8.23,-10.85,-8.13,-6.99,-6.44,
eps-earnings-per-share-diluted,-1.93,-2.04,-1.98,-1.82,-1.66,-0.62,-1.29,-1.26,-0.96,-0.86,-0.84,-0.75,-0.62,-0.7,-0.57,6.44,-0.47,-0.81,-8.23,-10.85,-8.13,-6.99,-6.44,0.0
