,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31
eps-earnings-per-share-diluted,-0.08,-0.11,-0.07,-0.04,-0.11,-0.13,-0.1,-0.13,-0.22,-0.21,-0.23,-0.08,-0.2,-0.22,-0.4,-0.68,-0.53,-1.07,-1.4,0.31,-0.06,-5.4,-0.08,0.0
research-development-expenses,5.279,7.333,4.496,5.089,5.687,5.221,3.043,3.032,3.465,3.716,3.528,2.6475,2.1048,2.3711,1.8772,3.2194,2.5076,1.1009,0.139,0.15,0.7886,21.2416,0.05,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,7.439,9.569,6.806,7.037,7.394,6.925,4.805,4.426,4.692,4.983,4.969,3.7375,3.2643,3.5781,3.2674,4.6203,4.2882,2.6269,0.461,0.37,1.149,21.7556,0.2097,
operating-income,-7.439,-9.569,-6.806,-7.037,-7.394,-6.925,-4.805,-4.426,-4.692,-4.983,-4.969,-3.7375,-3.2643,-3.5781,-3.2674,-4.6203,-4.2882,-2.6269,-0.461,-0.37,-1.149,-21.7556,-0.2097,
total-non-operating-income-expense,1.708,1.895,1.882,1.797,0.794,0.253,1.254,0.341,-1.407,-0.189,-0.253,0.0898,-0.54,-0.1147,-0.3196,-0.4707,-0.4483,-5.2382,-5.2504,1.7221,0.8872,-1.0272,-0.0192,
pre-tax-income,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-after-taxes,,,,,,,,,,,,,,,,,,,,0.0,,,,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,0.0,,,,
net-income,-5.731,-7.674,-4.924,-5.24,-6.6,-6.672,-3.551,-4.085,-6.099,-5.172,-5.222,-3.6446,-3.8074,-3.6928,-3.587,-5.091,-4.7365,-7.8651,-5.7114,1.38,-0.2618,-22.7828,-0.2289,
ebitda,-7.238,-9.57,-6.743,-6.953,-7.305,-6.41,-4.23,-3.771,-4.141,-3.848,-4.367,-3.1767,-2.7553,-3.0165,-2.8183,-4.3156,-3.9841,-2.3823,-0.2891,-0.0837,-0.9524,-21.695,-0.2034,
ebit,-7.439,-9.569,-6.806,-7.037,-7.394,-6.925,-4.805,-4.426,-4.692,-4.983,-4.969,-3.7375,-3.2643,-3.5781,-3.2674,-4.6203,-4.2882,-2.6269,-0.461,-0.37,-1.149,-21.7556,-0.2097,
basic-shares-outstanding,72.04,71.921,71.755,57.58,61.232,52.767,44.649,25.978,27.47,24.119,22.353,16.278,18.992,17.105,9.016,6.356,8.947,7.332,4.074,4.187,4.518,4.222,2.758,
shares-outstanding,72.04,71.921,71.755,57.58,61.232,52.767,45.306,25.978,27.47,24.119,22.353,16.278,18.992,17.105,9.016,6.356,8.947,7.332,4.074,4.187,4.518,4.222,2.758,
eps-basic-net-earnings-per-share,-0.08,-0.11,-0.07,-0.06,-0.11,-0.13,-0.08,-0.13,-0.22,-0.21,-0.23,-0.08,-0.2,-0.22,-0.4,-0.68,-0.53,-1.07,-1.4,0.31,-0.06,-5.4,-0.08,
