,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31
eps-earnings-per-share-diluted,-0.8,-0.74,-0.9,-4.76,-7.69,-5.65,-4.49,0.0,0.0
research-development-expenses,40.148,35.676,24.983,25.872,18.857,7.93,2.624,,
selling-general-administrative-expenses,,,,,,,,,
operating-expenses,49.986,46.349,34.017,39.807,50.024,33.036,26.126,,
operating-income,-49.986,-46.349,-34.017,-39.807,-50.024,-33.036,-26.126,,
total-non-operating-income-expense,1.486,1.851,1.406,1.013,0.622,0.3,0.089,,
pre-tax-income,,,,,,,,,
income-after-taxes,,,,,,,,,
income-from-continuous-operations,,,,,,,,,
net-income,-48.5,-44.498,-32.611,-38.794,-49.402,-32.736,-26.037,,
ebitda,-50.478,-47.549,-33.848,-39.673,-49.899,-33.004,-26.12,,
ebit,-49.986,-46.349,-34.017,-39.807,-50.024,-33.036,-26.126,,
basic-shares-outstanding,60.756,60.265,36.317,6.505,6.423,5.795,5.798,,
shares-outstanding,60.756,60.265,36.317,6.505,6.423,5.795,5.798,,
eps-basic-net-earnings-per-share,-0.8,-0.74,-0.9,-4.76,-7.69,-5.65,-4.49,,
