,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31
revenue,,,,,,,,
gross-profit,4.865,5.389,5.462,4.94,2.541,1.874,1.528,
research-development-expenses,19.791,22.76,19.961,16.399,9.737,10.869,8.117,
selling-general-administrative-expenses,,,,,,,,
operating-expenses,26.843,29.26,24.956,21.045,12.988,13.999,10.763,
operating-income,-21.978,-23.871,-19.494,-16.105,-10.447,-12.125,-9.235,
total-non-operating-income-expense,1.236,4.435,-12.289,0.662,0.691,0.299,0.223,
pre-tax-income,,,,,,,,
income-after-taxes,,,,,,,,
income-from-continuous-operations,,,,,,,,
net-income,-20.742,-19.436,-31.783,-15.443,-9.756,-11.826,-9.012,
ebitda,-20.577,-22.703,-18.555,-15.306,-9.862,-11.613,-8.777,
ebit,-21.978,-23.871,-19.494,-16.105,-10.447,-12.125,-9.235,
basic-shares-outstanding,50.624,50.035,15.967,15.776,15.817,15.731,15.705,
shares-outstanding,50.624,50.035,15.967,15.776,15.817,15.731,15.705,
eps-basic-net-earnings-per-share,-0.41,-0.39,-1.99,-0.98,-0.62,-0.75,-0.57,
eps-earnings-per-share-diluted,-0.41,-0.39,-1.99,-0.98,-0.62,-0.75,-0.57,0.0
