,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31
revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gross-profit,18.741,10.593,9.662,15.794,20.798,18.834,4.695,152.358,1.663,1.666,2.055,5.106,3.255,80.673,2.846,8.178,14.681,6.716,71.279,5.476,18.382,9.22,14.719,14.907,20.232,12.298,10.598,,16.0815,,
research-development-expenses,44.852,51.44,47.06,46.925,46.218,52.014,45.67,38.986,40.984,34.461,32.801,31.109,30.296,33.34,27.346,30.044,24.103,22.66,21.464,19.65,18.632,17.335,14.569,14.3482,11.088,11.049,10.0968,,11.9683,0.0,
selling-general-administrative-expenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
operating-expenses,56.685,63.562,57.279,57.472,55.802,63.148,54.905,47.39,49.387,42.845,40.263,40.344,37.52,40.579,33.479,36.759,30.124,28.006,26.147,24.495,22.31,21.48,17.827,18.1133,13.074,12.552,13.9297,,13.4826,,
operating-income,-37.944,-52.969,-47.617,-41.678,-35.004,-44.314,-50.21,104.968,-47.724,-41.179,-38.208,-35.238,-34.265,40.094,-30.633,-28.581,-15.443,-21.29,45.132,-19.019,-3.928,-12.26,-3.108,-3.2063,7.158,-0.254,-3.3317,,2.599,,
total-non-operating-income-expense,-6.687,21.202,2.6,-2.966,0.975,1.07,0.674,0.758,0.681,0.525,0.553,0.455,0.419,0.37,0.27,0.13,0.001,-0.086,-0.003,0.001,,0.001,,0.0012,-0.554,-0.04,-0.0342,,0.0016,,
pre-tax-income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-after-taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
income-from-continuous-operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
net-income,-44.631,-31.767,-45.017,-44.644,-34.029,-43.244,-49.536,105.726,-47.043,-40.654,-37.655,-34.783,-33.846,40.464,-30.363,-28.451,-15.442,-21.376,45.129,-19.018,-3.928,-12.259,-3.108,3.2299,0.169,-0.294,-3.3659,,,,
ebitda,-35.308,-50.389,-44.714,-38.667,-32.276,-43.112,-48.872,106.31,-45.819,-39.176,-36.23,-33.264,-32.188,41.88,-28.862,-27.389,-14.954,-20.654,45.678,-18.514,-3.446,-11.823,-2.71,-2.8483,7.475,0.0118,-3.0795,,2.8345,,
ebit,-37.944,-52.969,-47.617,-41.678,-35.004,-44.314,-50.21,104.968,-47.724,-41.179,-38.208,-35.238,-34.265,40.094,-30.633,-28.581,-15.443,-21.29,45.132,-19.019,-3.928,-12.26,-3.108,-3.2063,7.158,-0.254,-3.3317,,2.599,,
basic-shares-outstanding,48.903,48.845,45.607,40.925,42.239,42.154,36.937,36.095,36.779,35.785,34.958,34.685,34.766,34.616,34.504,31.802,33.339,30.059,29.416,27.385,27.751,27.651,26.262,6.848,1.185,1.22,1.149,,1.092,,
shares-outstanding,48.903,48.845,45.607,40.925,42.239,42.154,36.937,36.095,36.779,35.785,34.958,34.685,34.766,36.017,34.504,31.802,33.339,30.059,31.684,27.385,27.751,27.651,26.262,6.848,21.243,1.22,1.149,,21.502,,
eps-basic-net-earnings-per-share,-0.91,-0.65,-0.99,-1.01,-0.81,-1.03,-1.34,2.96,-1.28,-1.14,-1.08,-1.01,-0.97,1.17,-0.88,-0.99,-0.46,-0.71,1.53,-0.7,-0.14,-0.44,-0.12,2.99,0.14,-0.24,-2.93,,0.0,,
eps-earnings-per-share-diluted,-0.91,-0.65,-0.99,-1.01,-0.81,-1.03,-1.34,2.96,-1.28,-1.14,-1.08,-0.96,-0.97,1.12,-0.88,-0.88,-0.46,-0.71,1.42,-0.7,-0.14,-0.44,-0.12,3.12,0.01,-0.24,-2.93,0.0,0.0,0.0,0.0
